claim_wording_dutch,article_section,value,unit,source_output,row_or_configuration,classification,approved_wording,prohibited_wording,source_sha_or_ref
"batterijgrootte mediaan beleidseffect €391→€407",Batterijcapaciteit,391;404;405;407,EUR/jaar,battery_policy_summary.csv,"pure_policy_median_eur per battery","ENGINE RESULT","'mediaan vlakt af boven ~10 kWh'","'grotere batterij = evenredig meer'",body_sha=72e48f32
"totaal extra door 2027 min €248 max €1.145",Resultaten,248;1145,EUR/jaar,corrected_headline_metrics.json,"12.6kWh PER_KWH_0.10 n=25 min/max total","ENGINE RESULT","'spreiding €248…€1.145 over scenario's'","'landelijk gemiddelde'",body_sha=72e48f32
"reserve 10% mediaan €0,6 (65% ≤€5), max €62,6; 50% mediaan €65,2 max €379,1",Onbalanshandel minder,0.6;65.2;379.1,EUR/jaar,reserve_summary.csv,"reserve_fraction 0.1 / 0.5","DERIVED RESULT (SCENARIO STUDY)","'de meesten weinig, minderheid veel; geen universeel reservecijfer'","'reserveren kost €X voor iedereen'",body_sha=72e48f32
"onbalans break-even 42%/21%/14%/10% bij €300/600/900/1.200; ≈€126",Onbalanshandel minder,42;21;14;10;126,percent;EUR,imbalance_break_even.csv,"break_even_market_factor + break_even_gross","SCENARIO OVERLAY — niet fysiek gesimuleerd","'bereik afhankelijk van bruto-referentie; geen universele 25%'","'universele 25% break-even'; 'gesimuleerde onbalansopbrengst'",body_sha=72e48f32
"prijzen inkoop €0,30 / teruglevering €0,075 (aanname)",Waarom zelfconsumptie / Beperkingen,0.30;0.075,EUR/kWh,run_manifest.json,"import_price / export_compensation","MODEL ASSUMPTION","'in onze simulatie €0,30/€0,075'","'actuele markttarieven'",body_sha=72e48f32
"saldering stopt 1 januari 2027; ≥50% kale leveringstarief tot 2030",Wat verandert er in 2027,NA,NA,Rijksoverheid,salderingsregeling (verbatim),"LEGAL FACT","'stopt 1 januari 2027; minimaal 50% tot 2030'","'gegarandeerd retailtarief; exacte netto-vergoeding'",Rijksoverheid 2026-08-03
"ACM: onderzochte terugleverkosten niet verboden/onredelijk; per-kWh modelcontract vanaf 1-1-2026",Wat verandert er in 2027,NA,NA,ACM (acm.nl primary),"8 mei 2024 + 17 dec 2025","LEGAL FACT","'onderzochte tarieven niet verboden/onredelijk; per-kWh modelcontract vanaf 2026'","'elk (toekomstig) tarief automatisch toegestaan'",acm.nl 2026-08-03
"€592 is de zelfconsumptie-verandering, NIET de totale batterijopbrengst",Kort antwoord / Resultaten / FAQ,592,EUR/jaar,study scope,"self-consumption only; trading excluded","SCOPE (reframe)","'€592 is de zelfconsumptiewaarde-verandering; handel kan er netto bovenop komen'","'€592 = volledige/totale batterijopbrengst'",body_sha=7e4fb1b4
"Handel = optionele aanvullende netto waardestroom",Twee waardestromen / Hoe kan handel,NA,NA,value framework,"TOTAL=A+B; optimal=A+max(0,B)","FRAMING (reframe)","'handel kan netto waarde toevoegen; EMS handelt alleen bij positieve incrementele waarde'","'handel is een onzekere bonus, geen basis'; 'handel levert altijd geld op'",body_sha=7e4fb1b4
"Meer batterijen bepalen niet automatisch lagere handelsopbrengst",Meer thuisbatterijen,NA,NA,demand-vs-supply reasoning,"flex demand vs flex supply","FRAMING (reframe)","'de verhouding vraag/aanbod bepaalt de opbrengst, niet het aantal batterijen'","'meer batterijen ⇒ minder opbrengst'; 'verzadiging is onvermijdelijk'",body_sha=7e4fb1b4
"Engine simuleert geen handel/onbalans/marktomvang",Wat weten we nog niet / Beperkingen,NA,NA,engine limitation,"no causal imbalance controller","LIMITATION","'handelsopbrengst niet gesimuleerd; €300–€1.200 zijn externe referentiescenario's'","'engine voorspelt onbalansopbrengst'; 'handelsopbrengst daalt/stijgt zeker'",body_sha=7e4fb1b4
