claim_wording_dutch,section,classification,source_output_or_authority,config_or_row_scope,wording_allowed,wording_prohibited,confidence,review_status
"Kostenstructuur (12.6kWh): per-kWh 0.05/0.10/0.15 = EUR101/EUR202/EUR303; staffels EUR92/EUR90; vast EUR0; hybride EUR101",Kostenstructuur telt,ENGINE RESULT,policy_fee_decomposition.csv,"12.6kWh only, per structure, n=25 median","'mediaan 12.6kWh-referentiebatterij'","'iedereen bespaart dit'",high,verified 12.6kWh medians
"All-battery-pooled per-kWh 0.10 fee value = EUR196 (n=100)",data reference only (not article headline),ENGINE RESULT,fee_structure_summary.csv,"all 4 batteries pooled, PER_KWH_0.10, n=100 median","'gepoold over 4 batterijen = EUR196 (aparte scope)'","'EUR196 = de 12.6kWh-waarde'",high,verified (documented as different scope; NOT used as article headline)
"Vast maandbedrag: vermeden EUR0 (batterij vermijdt vast bedrag niet)",Kostenstructuur telt / FAQ,ENGINE RESULT,fee_structure_summary.csv + 12.6kWh,FIXED_MONTHLY=0.0,"'een batterij vermijdt een vast bedrag niet'","'batterij haalt alle terugleverkosten weg'",high,verified
"Batterijgrootte: mediaan beleidseffect EUR391->EUR407 (7->21.8 kWh)",Welke batterijcapaciteit,ENGINE RESULT,battery_policy_summary.csv,pure_policy_median_eur,"'mediaan vlakt af boven ~10 kWh'","'grotere batterij = evenredig meer'",high,verified
"Reserve 10%: mediaan EUR0.6, 65% <=EUR5, max EUR62.6; 50%: mediaan EUR65.2, max EUR379.1",Onbalanshandel minder,DERIVED RESULT,reserve_summary.csv,reserve_fraction 0.1/0.5,"'de meesten weinig, minderheid veel'","'reserveren kost EUR X voor iedereen'",high,verified
"Onbalans break-even 42%/21%/14%/10% bij EUR300/600/900/1200; geen universele 25%",Onbalanshandel minder,SCENARIO OVERLAY,imbalance_break_even.csv,break_even_market_factor,"'bereik afhankelijk van bruto-referentie'","'universele 25% break-even'",medium,verified overlay
"Onbalans is scenario-overlay, niet gesimuleerd; 0% marktfactor => niet deelnemen",Onbalans / day-ahead,SCENARIO OVERLAY,imbalance_overlay module + red team,LABEL,"'scenario-overlay op externe ongeverifieerde referentie'","'gesimuleerde onbalansopbrengst'",high,verified
"Day-ahead en onbalans zijn verschillende markten",Day-ahead vs onbalans,MODEL/DOMAIN FACT,MODEL_STATUS.md + review docs,day-ahead separated,"'verschillende markten, apart gehouden'","'day-ahead = onbalans'",high,verified
"Saldering stopt 1 jan 2027; vergoeding >=50% kale leveringstarief tot 2030; zelfverbruik belastingvrij",Wat verandert er in 2027,LEGAL FACT,Rijksoverheid,salderingsregeling page (verbatim),"'stopt 1 januari 2027; minimaal 50% tot 2030; zelfverbruik geen belasting/kosten'","'gegarandeerd retailtarief; exacte netto-vergoeding na kosten'",high,verified 2026-08-03
"ACM: onderzochte terugleverkosten niet verboden (8 mei 2024) en niet onredelijk (17 dec 2025); modelcontract per 1-1-2026 verplicht per-kWh",Wat verandert er in 2027,LEGAL FACT,ACM (primary),acm.nl publications (3),"'onderzochte tarieven niet verboden/onredelijk; verschillende methoden; per-kWh modelcontract vanaf 2026'","'elk (toekomstig) tarief automatisch toegestaan'",high,verified acm.nl primary (replaced Solar Magazine secondary)
"Terugleverkosten over bruto teruglevering; per-kWh of staffel",Wat verandert / Kostenstructuur,MARKET FACT,Consumentenbond + ACM,terugleverkosten,"'over de totale teruggeleverde kWh; per-kWh of staffel/vast'","'over gesaldeerd saldo'",high,verified
"Prijzen inkoop EUR0.30 / teruglevering EUR0.075 (aanname)",Methode/beperkingen,MODEL ASSUMPTION,run_manifest.json,import_price/export_compensation,"'in onze simulatie EUR0.30/EUR0.075'","'actuele markttarieven'",high,verified
"248 tests slagen",Verantwoording,TEST RESULT,pytest,full suite,"'248/248 tests slagen'","'gevalideerd tegen praktijk'",high,verified
"Gesimuleerde zelfconsumptiewaarde sluit handel uit",Twee waardestromen / Beperkingen,SUPPORTED,study scope (self-consumption only),"engine simulates PV self-consumption/imports/feed-in-costs/netting only","'onze simulatie berekent alleen zelfconsumptie en vermeden terugleverkosten'","'€592 = volledige batterijopbrengst'",high,verified
"Handel kan incrementele netto waarde toevoegen",Twee waardestromen / Hoe kan handel,SUPPORTED,value framework (definition),"B = bruto - aggregator - EMS - degradatie - opportuniteitskost","'handel kan extra netto waarde toevoegen wanneer opbrengst > kosten + alternatief'","'handel levert altijd geld op'; 'elke trade is positief'",high,verified
"Standalone maxima van zelfconsumptie en handel mag je niet optellen",Gedeelde SoC,SUPPORTED,shared-SoC reasoning,"one battery/power/SoC; integrated controller picks best action","'losse maxima niet naief optellen; tel handel pas na aftrek verdrongen zelfconsumptie'","'zelfconsumptie + volledige handelsmaximum'",high,verified
"Aantal batterijen alleen bepaalt niet de richting van toekomstige handelsopbrengst",Meer thuisbatterijen,SUPPORTED,demand-vs-supply reasoning,"flex demand vs flex supply both matter","'de verhouding vraag/aanbod van flexibiliteit bepaalt de opbrengst, niet het aantal batterijen'","'meer batterijen ⇒ minder opbrengst'; 'verzadiging is onvermijdelijk'",high,verified
"Zowel vraag naar flexibiliteit als flexibel aanbod tellen mee",Meer thuisbatterijen,SUPPORTED,two-sided market mechanism,"listed downward and upward factors","'mogelijke neerwaartse druk EN mogelijke groei'","'markt blijft zeker gelijk/stijgt'; 'daling is zeker'",high,verified
"Exacte toekomstige handelsopbrengst is onopgelost",Wat weten we nog niet,SUPPORTED,engine limitation,"no causal imbalance controller; no market-size model","'geen exacte handelsraming; onopgelost'","'engine voorspelt onbalansmarktopbrengst'",high,verified
"Handelsopbrengst daalt zeker",NOT PRESENT,NOT SUPPORTED,n/a,n/a,"(none)","'handelsopbrengst zal dalen'; 'onbalans daalt'; 'bonus, geen basis'",high,removed/verified-absent
"Handelsopbrengst stijgt zeker",NOT PRESENT,NOT SUPPORTED,n/a,n/a,"(none)","'handelsopbrengst zal stijgen'",high,verified-absent
"Meer batterijen verlagen automatisch de opbrengst",NOT PRESENT,NOT SUPPORTED,n/a,n/a,"(none)","'meer batterijen verlagen de opbrengst'",high,verified-absent
"Elke trade voegt positieve netto waarde toe",NOT PRESENT,NOT SUPPORTED,n/a,n/a,"(none)","'elke trade is winstgevend'",high,verified-absent
"€592 is de totale batterijopbrengst",NOT PRESENT,NOT SUPPORTED,n/a,n/a,"(none)","'€592 = volledige/totale batterijopbrengst'",high,verified-absent
"De huidige engine voorspelt toekomstige onbalansmarktopbrengst",NOT PRESENT,NOT SUPPORTED,n/a,n/a,"(none)","'engine voorspelt onbalansopbrengst'",high,verified-absent
